,TimeDolarReal,ReturnsDolarReal
152,2013-05-02,0.0031348767991500326
153,2013-05-03,-0.0014915728912631154
154,2013-05-06,0.0010940376047715583
155,2013-05-07,-0.001691290260391276
156,2013-05-08,-0.004140792666031179
157,2013-05-09,0.0003498862905260136
158,2013-05-10,0.013156451405834546
159,2013-05-13,-0.005539358345537981
160,2013-05-14,-0.005420606554205065
161,2013-05-15,0.011206543621248954
162,2013-05-16,-0.0017767253711509223
163,2013-05-17,0.005910182688258048
164,2013-05-20,-0.00034380295518054993
165,2013-05-21,0.0007856617148550571
166,2013-05-22,0.0012263620285623
167,2013-05-23,0.0062555183951962245
168,2013-05-24,-0.00048730569650057287
169,2013-05-27,
170,2013-05-28,
171,2013-05-29,0.014117203626333508
172,2013-05-30,0.005800149378344166
173,2013-05-31,0.0057667015546774
